competition_id,match_id,match_date,home_team,away_team,home_score,away_score
43,3857256,2022-12-02,Serbia,Switzerland,2,3
43,3869151,2022-12-03,Argentina,Australia,2,1
43,3857257,2022-11-30,Australia,Denmark,1,0
43,3857258,2022-11-24,Brazil,Serbia,2,0
43,3857288,2022-11-26,Tunisia,Australia,0,1
43,3857267,2022-11-29,Ecuador,Senegal,1,2
43,3869321,2022-12-09,Netherlands,Argentina,2,2
43,3857287,2022-11-24,Uruguay,South Korea,0,0
43,3869486,2022-12-10,Morocco,Portugal,1,0
43,3869685,2022-12-18,Argentina,France,3,3
43,3857260,2022-11-30,Saudi Arabia,Mexico,1,2
43,3857264,2022-11-30,Poland,Argentina,0,2
43,3857266,2022-11-26,France,Denmark,2,1
43,3857289,2022-11-26,Argentina,Mexico,2,0
43,3857269,2022-11-28,Brazil,Switzerland,1,0
43,3857294,2022-11-29,Netherlands,Qatar,2,0
43,3869254,2022-12-06,Portugal,Switzerland,6,1
43,3869118,2022-12-04,England,Senegal,3,0
43,3869684,2022-12-17,Croatia,Morocco,2,1
43,3869519,2022-12-13,Argentina,Croatia,3,0
43,3869354,2022-12-10,England,France,1,2
43,3869552,2022-12-14,France,Morocco,2,0
43,3869420,2022-12-09,Croatia,Brazil,1,1
43,3869220,2022-12-06,Morocco,Spain,0,0
43,3869219,2022-12-05,Japan,Croatia,1,1
43,3869253,2022-12-05,Brazil,South Korea,4,1
43,3869152,2022-12-04,France,Poland,3,1
43,3869117,2022-12-03,Netherlands,United States,3,1
43,3857270,2022-11-28,Portugal,Uruguay,2,0
43,3857263,2022-11-27,Spain,Germany,1,1
43,3857259,2022-11-28,Cameroon,Serbia,3,3
43,3857295,2022-11-27,Japan,Costa Rica,0,1
43,3857283,2022-11-27,Belgium,Morocco,0,2
43,3857284,2022-11-23,Germany,Japan,1,2
43,3857282,2022-11-21,United States,Wales,1,1
43,3857286,2022-11-20,Qatar,Ecuador,0,2
43,3857301,2022-11-25,Qatar,Senegal,1,3
43,3857300,2022-11-22,Argentina,Saudi Arabia,1,2
43,3857299,2022-11-28,South Korea,Ghana,2,3
43,3857298,2022-11-24,Portugal,Ghana,3,2
43,3857297,2022-11-26,Poland,Saudi Arabia,2,0
43,3857296,2022-12-01,Croatia,Belgium,0,0
43,3857293,2022-12-02,Ghana,Uruguay,0,2
43,3857292,2022-12-01,Costa Rica,Germany,2,4
43,3857291,2022-11-23,Spain,Costa Rica,7,0
43,3857290,2022-11-24,Switzerland,Cameroon,1,0
43,3857285,2022-11-21,Senegal,Netherlands,0,2
43,3857281,2022-11-27,Croatia,Canada,4,1
43,3857280,2022-12-02,Cameroon,Brazil,1,0
43,3857279,2022-11-22,France,Australia,4,1
43,3857278,2022-11-29,Iran,United States,0,1
43,3857277,2022-11-23,Morocco,Croatia,0,0
43,3857276,2022-12-01,Canada,Morocco,1,2
43,3857275,2022-11-30,Tunisia,France,1,0
43,3857274,2022-11-25,Netherlands,Ecuador,1,1
43,3857273,2022-11-25,Wales,Iran,0,2
43,3857272,2022-11-25,England,United States,0,0
43,3857271,2022-11-21,England,Iran,6,2
43,3857268,2022-11-23,Belgium,Canada,1,0
43,3857265,2022-11-22,Mexico,Poland,0,0
43,3857262,2022-12-02,South Korea,Portugal,2,1
43,3857261,2022-11-29,Wales,England,0,3
